breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
canaan-dog,"Confident, Alert, Vigilant",Ranks 179 of 197,"20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12-15 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235112/Canaan-Dog-On-White-01.jpg,https://marketplace.akc.org/puppies/canaan-dog,Weekly Brushing,Frequent,Regular Exercise,Independent,Reserved with Strangers,"['Black', 'Cream', 'Golden', 'Liver', 'Red', 'Tan', 'White']","['Black Markings', 'Cream Markings', 'Gold Markings', 'Liver Markings', 'Red Markings', 'Tan Markings', 'White Trim']",http://cdca.org/
cane-corso,"Affectionate, Intelligent, Majestic",Ranks 32 of 197,"25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18123713/Cane-Corso-AKC-121516-296.jpg,https://marketplace.akc.org/puppies/cane-corso,Occasional Bath/Brush,Occasional,Energetic,Agreeable,Alert/Responsive,"['Black', 'Black Brindle', 'Chestnut Brindle', 'Fawn', 'Gray', 'Gray Brindle', 'Red']","['Black Mask', 'Gray Mask']",http://www.canecorso.org/
cardigan-welsh-corgi,"Affectionate, Loyal, Smart",Ranks 68 of 197,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04202304/Cardigan-Welsh-Corgi-on-White-111.jpg,https://marketplace.akc.org/puppies/cardigan-welsh-corgi,Weekly Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"['Black & White', 'Blue Merle & White', 'Brindle & White', 'Red & White', 'Sable & White', 'Brindle Merle & White', 'Gray & White', 'Liver & White', 'Red Merle & White', 'Sable Merle & White', 'White Merle']","['Black Mask', 'Black Mask & Ticked', 'Brindle Points', 'Brindle Points & Ticked', 'Tan Points', 'Tan Points & Ticked', 'Ticked']",https://www.cardigancorgis.com/
carolina-dog,"Loyal, Independent, Reserved with Strangers",-1,17.75-19.5 inches,30-55 pounds,-1,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20113314/Carolina-Dog-standing-outdoors.jpg,https://marketplace.akc.org/puppies/carolina-dog,Occasional Bath/Brush,Seasonal,Regular Exercise,Eager to Please,Alert/Responsive,"['Black', 'Black & Tan', 'Buff', 'Red', 'Tawny', 'White', 'Yellow']","['Irish Marked', 'Piebald', 'White Markings']",http://thecarolinadogclubofamerica.com
catahoula-leopard-dog,"Loyal, Independent, Watchful",-1,22-24 inches,50-95 pounds,10-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211404/Catahoula-Leopard-Dog-on-White-02.jpg,https://marketplace.akc.org/puppies/catahoula-leopard-dog,-1,-1,Needs Lots of Activity,Independent,Reserved with Strangers,"['Black', 'Blue', 'Blue Merle', 'Brindle', 'Chocolate', 'Red', 'Red Merle', 'White Merle', 'Yellow', 'Yellow Merle']","['Tan Markings', 'White Trim']",-1
caucasian-shepherd-dog,"Fearless, Bold, Kind",-1,23-30 inches,99-170 pounds,10-12 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/14131930/GettyImages-1095398138.jpg,https://marketplace.akc.org/puppies/caucasian-shepherd-dog,2-3 Times a Week Brushing,Regularly,Calm,Independent,Aloof/Wary,"['Agouti & White', 'Black and Gray', 'Cream', 'Fawn', 'Gray', 'Grizzle', 'Red', 'Rust', 'Sable', 'White']","['Brindle Markings', 'Piebald', 'White Markings']",http://www.cowdca.org/
cavalier-king-charles-spaniel,"Affectionate, Gentle, Graceful",Ranks 18 of 197,12-13 inches,13-18 pounds,12-15 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13142848/Cavalier-King-Charles-Spaniel-standing-in-the-grass.jpg,https://marketplace.akc.org/puppies/cavalier-king-charles-spaniel,Weekly Brushing,Occasional,Calm,Eager to Please,Friendly,"['Black & Tan', 'Black & White', 'Blenheim', 'Ruby']",['Tan Markings'],https://www.ackcsc.org/
central-asian-shepherd-dog,"Independent, Courageous, Self-Confident",-1,Minimum: 25.5-27.5 inches,Minimum: 88-110 pounds,-1,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12185837/Central-Asian-Shepherd-Dog-on-White-02.jpg,https://marketplace.akc.org/puppies/central-asian-shepherd-dog,Occasional Bath/Brush,Seasonal,Calm,Independent,Aloof/Wary,"['Black', 'Brindle', 'Fawn', 'Gray']",['White Markings'],-1
cesky-terrier,"Clever, Adventurous, Family-Oriented",Ranks 185 of 197,10-13 inches,14-24 pounds,12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15141010/Cesky-Terrier-on-White-011.jpg,https://marketplace.akc.org/puppies/cesky-terrier,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Reserved with Strangers,['Gray'],"['Cream Furnishings', 'Silver Furnishings', 'Tan Furnishings', 'White Markings', 'Yellow Furnishings']",https://americanceskyterrierfanciersassociation.org/
chesapeake-bay-retriever,"Affectionate, Bright, Sensitive",Ranks 45 of 197,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29231024/Chesapeake-Bay-Retriever-hunting.jpg,https://marketplace.akc.org/puppies/chesapeake-bay-retriever,2-3 Times a Week Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,"['Brown', 'Dark Brown', 'Dark Deadgrass', 'Deadgrass', 'Light Brown', 'Light Deadgrass', 'Sedge', 'Tan']",['White Markings'],https://amchessieclub.org/
chihuahua,"Charming, Graceful, Sassy",Ranks 33 of 197,5-8 inches,not exceeding 6 pounds,14-16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27134650/Chihuahua-standing-in-three-quarter-view.jpg,https://marketplace.akc.org/puppies/chihuahua,Occasional Bath/Brush,Occasional,Regular Exercise,Independent,Alert/Responsive,"['Black', 'Black & Tan', 'Blue & Tan', 'Chocolate', 'Chocolate & Tan', 'Cream', 'Fawn', 'Fawn & White', 'Red', 'Black & Red', 'Black & Silver', 'Black & White', 'Black Sabled Fawn', 'Black Sabled Silver', 'Blue', 'Blue & White', 'Blue Brindled Fawn', 'Blue Fawn', 'Chocolate & White', 'CHOCOLATE BLUE', 'Chocolate Brindled Fawn', 'Chocolate Sabled Fawn', 'Cream & White', 'Fawn Brindled Black', 'Gold', 'Gold & White', 'Red & White', 'Silver', 'Silver & White', 'White']","['Black Brindling', 'Black Mask', 'Black Sabling', 'Merle Markings', 'Spotted On White', 'White Markings', 'Black Mask, White Markings', 'Blue Mask', 'Cream Markings', 'Fawn Markings', 'Red Markings']",https://chihuahuaclubofamerica.org
chinese-crested,"Affectionate, Alert, Lively",Ranks 79 of 197,11-13 inches,8-12 pounds,13-18 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234649/Chinese-Crested-On-White-01.jpg,https://marketplace.akc.org/puppies/chinese-crested,Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Friendly,"['Apricot', 'Black', 'Black White & Tan', 'Blue', 'Chocolate', 'Cream', 'Palomino', 'Pink & Chocolate', 'Pink & Slate', 'Slate', 'White', 'Black & Tan', 'Black & White', 'Brown', 'Pink', 'Red', 'Sable', 'Silver', 'White & Black', 'White & Chocolate']","['Spotted', 'White Markings']",https://chinesecrestedclub.info
chinese-shar-pei,"Loyal, Independent, Calm",Ranks 64 of 197,18-20 inches,45-60 pounds,8-12 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08174941/Chinese-Shar-Pei-standing-on-the-sidewalk.jpg,https://marketplace.akc.org/puppies/chinese-shar-pei,Occasional Bath/Brush,Regularly,Regular Exercise,May be Stubborn,Reserved with Strangers,"['Apricot Dilute', 'Black', 'Black Sable', 'Blue', 'Blue Dilute', 'Brown', 'Chocolate Dilute', 'Cream', 'Cream Dilute', 'Cream Sable', 'Fawn', 'Fawn Sable', 'Five Point Red Dilute', 'Isabella Dilute', 'Lilac Dilute', 'Red', 'Red Fawn', 'Red Sable', 'Blue Sable', 'Brown Sable', 'White']","['Brindle', 'Mask', 'Pointed', 'Sable', 'Saddle Pattern', 'Spotted On White', 'White Markings']",http://www.cspca.com/
chinook,"Smart, Patient, Devoted",Ranks 190 of 197,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234558/Chinook-On-White-03.jpg,https://marketplace.akc.org/puppies/chinook,Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"['Fawn', 'Gray Red', 'Palomino', 'Red Gold', 'Silver Fawn', 'Black', 'Black & Tan', 'Buff', 'Gray & Tan', 'Tawny', 'White']","['Black Mask', 'Buff Markings', 'White Markings']",http://www.chinookclubofamerica.org/
chow-chow,"Dignified, Bright, Serious-Minded",Ranks 75 of 197,17-20 inches,45-70 pounds,8-12 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234523/Chow-Chow-On-White-01.jpg,https://marketplace.akc.org/puppies/chow-chow,2-3 Times a Week Brushing,Seasonal,Regular Exercise,May be Stubborn,Reserved with Strangers,"['Black', 'Blue', 'Cinnamon', 'Cream', 'Red']",[],http://www.chowclub.org/
cirneco-delletna,"Affectionate, Friendly, Independent",Ranks 183 of 197,"18-19.5 inches (male), 16.5-18 inches (female)","22-26 pounds (male), 17-22 pounds (female)",12-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12215538/Cirneco-Dell-Etna-On-White-01.jpg,https://marketplace.akc.org/puppies/cirneco-delletna,Occasional Bath/Brush,Infrequent,Regular Exercise,Agreeable,Alert/Responsive,['Chestnut'],['White Markings'],http://www.cirneco.org/
clumber-spaniel,"Mellow, Amusing, Gentlemanly",Ranks 143 of 197,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07135844/Clumber-Spaniel-On-White-011.jpg,https://marketplace.akc.org/puppies/clumber-spaniel,Weekly Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,['White'],"['Lemon Markings', 'Orange Markings']",https://www.clumbers.org/
cocker-spaniel,"Gentle, Smart, Happy",Ranks 30 of 197,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01132744/Cocker-Spaniel-running-in-the-yard.jpg,https://marketplace.akc.org/puppies/cocker-spaniel,Daily Brushing,Occasional,Regular Exercise,Eager to Please,Outgoing,"['Black', 'Black & Tan', 'Black & White', 'Black White & Tan', 'Brown', 'Brown Roan', 'Brown Roan & Tan', 'Brown & Tan', 'Brown & White', 'Brown White & Tan', 'Buff', 'Buff & White', 'Red', 'Red & White', 'Silver', 'Blue Roan', 'Blue Roan & Tan', 'Cream', 'Golden', 'Red Roan', 'Sable', 'Sable & White']","['Merle Markings', 'Roan', 'Ticked', 'White Markings']",https://www.americanspanielclub.org/
collie,"Devoted, Graceful, Proud",Ranks 38 of 197,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10130454/Collie-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/collie,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Easy Training,Friendly,"['Black White & Tan', 'Blue Merle', 'Blue Merle & White', 'Blue Merle White & Tan', 'Sable', 'Sable & White', 'Sable Merle', 'Sable Merle & White', 'White', 'White Merle']","['Black & Tan Markings', 'Blue Merle Markings', 'Sable', 'Sable Merle Markings']",http://www.collieclubofamerica.org/
coton-de-tulear,"Charming, Bright, Happy-Go-Lucky",Ranks 81 of 197,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01142352/Coton-de-Tulears-sitting.jpg,https://marketplace.akc.org/puppies/coton-de-tulear,Daily Brushing,Occasional,Regular Exercise,Easy Training,Outgoing,"['White', 'Black']","['Gray Markings', 'Yellow Markings', 'Tri Color Markings', 'White Markings']",https://www.usactc.dog
croatian-sheepdog,"Loyal, Active, Alert and Intelligent",-1,16-20 inches,29-44 pounds,13-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/05/16193300/Croatian-Sheepdog.jpg,https://marketplace.akc.org/puppies/croatian-sheepdog,Occasional Bath/Brush,Occasional,Needs Lots of Activity,Eager to Please,Reserved with Strangers,['Black'],[],-1
curly-coated-retriever,"Confident, Proud, Wickedly Smart",Ranks 162 of 197,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17231047/Curly-Coated-Retriever-standing-stacked-in-a-field-at-sunset.20200418030641387.jpg,https://marketplace.akc.org/puppies/curly-coated-retriever,Occasional Bath/Brush,Occasional,Energetic,Independent,Reserved with Strangers,"['Black', 'Liver']",[],http://www.ccrca.org/
czechoslovakian-vlcak,"Loyal, Intelligent, Active",-1,Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234147/Czechoslovakian-Vlcak-On-White-01.jpg,https://marketplace.akc.org/puppies/czechoslovakian-vlcak,Weekly Brushing,Frequent,Needs Lots of Activity,May be Stubborn,Aloof/Wary,"['Silver Gray', 'Yellow Gray', 'Gray']",[],http://www.czechoslovakianvlcak.org
dachshund,"Friendly, Curious, Spunky",Ranks 12 of 197,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07143620/Longhaired-Dachshund-standing-outdoors.jpg,https://marketplace.akc.org/puppies/dachshund,Weekly Brushing,Occasional,Regular Exercise,Agreeable,Alert/Responsive,"['Black & Cream', 'Black & Tan', 'Blue & Cream', 'Blue & Tan', 'Chocolate & Cream', 'Chocolate & Tan', 'Cream', 'Fawn (Isabella) & Cream', 'Fawn (Isabella) & Tan', 'Red', 'Wheaten', 'Wild Boar', 'Black', 'Chocolate', 'Fawn']","['Brindle', 'Dapple', 'Sable', 'Brindle Piebald', 'Double Dapple', 'Piebald']",http://www.dachshundclubofamerica.org/
dalmatian,"Dignified, Smart, Outgoing",Ranks 56 of 197,19-24 inches,45-70 pounds,11-13 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234026/Dalmatian-On-White-01.jpg,https://marketplace.akc.org/puppies/dalmatian,Weekly Brushing,Frequent,Energetic,Agreeable,Alert/Responsive,"['White & Black', 'White & Liver Brown', 'White & Lemon', 'White & Orange', 'White Black & Tan', 'White, Liver & Tan']",[],http://www.thedca.org/
dandie-dinmont-terrier,"Independent, Smart, Proud",Ranks 176 of 197,8-11 inches,18-24 pounds,12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213000/Dandie-Dinmont-Terrier-slide-6.jpg,https://marketplace.akc.org/puppies/dandie-dinmont-terrier,Daily Brushing,Infrequent,Regular Exercise,Independent,Reserved with Strangers,"['Mustard', 'Pepper']",[],http://ddtca.org/
danish-swedish-farmdog,"Energetic, Trainable, Attentive",-1,12.5-14.5 inches,15-20 pounds,11-13 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26121543/Danish-Swedish-Farmdog-standing-outdoors-at-dusk.jpg,https://marketplace.akc.org/puppies/danish-swedish-farmdog,Occasional Bath/Brush,Occasional,Energetic,-1,-1,"['White & Black', 'White & Brown', 'White & Fawn', 'White & Tan']",['Tan Markings'],http://www.farmdogs.org
deutscher-wachtelhund,"Friendly, Versatile, Determined",-1,18-21 inches,40-55 pounds,12-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29130931/AdobeStock_1083293871.jpg,https://marketplace.akc.org/puppies/deutscher-wachtelhund,Weekly Brushing,-1,Regular Exercise,-1,-1,"['Brown', 'Red']","['Black Points', 'Patched and Ticked', 'Ticked', 'White Markings']",-1
doberman-pinscher,"Loyal, Fearless, Alert",Ranks 17 of 197,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12224830/Doberman-Pinscher-standing-outdoors.jpg,https://marketplace.akc.org/puppies/doberman-pinscher,Occasional Bath/Brush,Regularly,Needs Lots of Activity,Eager to Please,Alert/Responsive,"['Black & Rust', 'Blue & Rust', 'Fawn (Isabella) & Rust', 'Red & Rust', 'White']",[],https://dpca.org
dogo-argentino,"Loyal, Courageous, Athletic",-1,"24-26.5 inches (male), 24-25.5 inches (female)","88-100 pounds (male), 88-95 pounds (female)",9-15 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11141747/Dogo-Argentino.jpg,https://marketplace.akc.org/puppies/dogo-argentino,Occasional Bath/Brush,Infrequent,Needs Lots of Activity,-1,-1,['White'],[],https://dogousa.org
dogue-de-bordeaux,"Affectionate, Loyal, Courageous",Ranks 67 of 197,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233808/Dogue-de-Bordeaux-On-White-03.jpg,https://marketplace.akc.org/puppies/dogue-de-bordeaux,Occasional Bath/Brush,Regularly,Regular Exercise,Agreeable,Alert/Responsive,"['Fawn', 'Isabella', 'Mahogany', 'Red']","['Black Mask', 'Black Mask, White Markings', 'Brown Mask', 'White Patches']",http://www.ddbsa.org/
drentsche-patrijshond,"Loyal, Intelligent, Sensitive",-1,21-25 inches,48-73 pounds,11–14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205834/Drentsche-Patrijshond-on-White-01.jpg,https://marketplace.akc.org/puppies/drentsche-patrijshond,Weekly Brushing,Regularly,Energetic,Agreeable,Reserved with Strangers,['White'],['Brown Markings'],http://www.dpcna.org/
drever,"Loyal, Even-Tempered, Determined",-1,12-15 inches,35-40 pounds,~15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18182350/Drever-face.jpg,https://marketplace.akc.org/puppies/drever,Occasional Bath/Brush,Occasional,Regular Exercise,May be Stubborn,Alert/Responsive,"['Brindle', 'Fawn', 'Red', 'Tri-Colored']","['Sable', 'Sable, White Markings', 'White Markings']",-1
dutch-shepherd,"Intelligent, Lively, Athletic",-1,21.5-24.5 inches,42-75 pounds,11-14 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205622/Dutch-Shepherd-on-White-01.jpg,https://marketplace.akc.org/puppies/dutch-shepherd,Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,Alert/Responsive,"['Gold Brindle', 'Silver Brindle', 'Yellow']",[],http://www.americandutchshepherdassoc.org/
english-cocker-spaniel,"Energetic, Merry, Responsive",Ranks 52 of 197,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/16105011/English-Cocker-Spaniel-Slide03.jpg,https://marketplace.akc.org/puppies/english-cocker-spaniel,2-3 Times a Week Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"['Black', 'Black & Tan', 'Black & White', 'Black White & Tan', 'Blue Roan', 'Blue Roan & Tan', 'Golden', 'Lemon Roan', 'Liver', 'Liver & Tan', 'Liver & White', 'Liver Roan', 'Liver Roan & Tan', 'Liver White & Tan', 'Orange & White', 'Orange Roan', 'Red', 'Red Roan', 'Lemon & White', 'Red & White', 'Sable', 'Sable & Tan', 'Sable & White']","['Tan Markings', 'Ticked', 'White Markings']",http://www.ecsca.info/
english-foxhound,"Affectionate, Gentle, Sociable",Ranks 188 of 197,24 inches,60-75 pounds,10-13 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19120219/English-Foxhound-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/english-foxhound,Occasional Bath/Brush,Regularly,Energetic,Agreeable,Friendly,"['Black White & Tan', 'Lemon & White', 'White']",[],https://www.apps.akc.org/apps/club_search/index_master.cfm?action=refresh_index&active_tab_row_A=1&active_tab_col_A=1&Fixed_ID=1
english-setter,"Friendly, Mellow, Merry",Ranks 94 of 197,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28135356/English-Setter-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/english-setter,2-3 Times a Week Brushing,Regularly,Energetic,Easy Training,Friendly,"['Blue Belton', 'Blue Belton & Tan (Tri-Color)', 'Lemon Belton', 'Liver Belton', 'Orange Belton', 'White']",[],https://www.esaa.com/
english-springer-spaniel,"Friendly, Playful, Obedient",Ranks 27 of 197,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08110247/English-Springer-Spaniel-On-White-011.jpg,https://marketplace.akc.org/puppies/english-springer-spaniel,Weekly Brushing,Occasional,Regular Exercise,Eager to Please,Friendly,"['Black & White', 'Black White & Tan', 'Liver & White', 'Liver White & Tan', 'White & Black', 'White & Liver', 'Lemon & White', 'Orange & White', 'Red & White']","['Roan', 'Spotted', 'Ticked']",http://www.essfta.org/
english-toy-spaniel,"Gentle, Playful, Intelligent",Ranks 135 of 197,9-10 inches,8-14 pounds,10-12 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233503/English-Toy-Spaniel-On-White-01.jpg,https://marketplace.akc.org/puppies/english-toy-spaniel,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"['Black & Tan', 'Black White & Tan', 'Red', 'Red & White']",[],http://www.englishtoyspanielclubofamerica.org/
entlebucher-mountain-dog,"Loyal, Smart, Enthusiastic",Ranks 157 of 197,"17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11-13 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01171937/Entlebucher-Mountain-Dog-outdoors-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/entlebucher-mountain-dog,Occasional Bath/Brush,Infrequent,Needs Lots of Activity,Independent,Reserved with Strangers,"['Black', 'Black White & Tan']","['Brown Markings', 'White Markings']",https://nemda.org
estrela-mountain-dog,"Alert, Intelligent, Brave",-1,24.5-29 inches,77-132 pounds,10-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13173254/Beau.jpg,https://marketplace.akc.org/puppies/estrela-mountain-dog,Weekly Brushing,Seasonal,Calm,-1,-1,"['Brindle', 'Fawn', 'Wolfgray', 'Yellow']","['Black Mask', 'White Markings']",-1
eurasier,"Confident, Calm, Family-Oriented",-1,19-24 inches,40-70 pounds,12-16 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28174934/Eurasier.1.jpg,https://marketplace.akc.org/puppies/eurasier,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Agreeable,Reserved with Strangers,"['Black', 'Fawn', 'Red', 'Sable', 'Wolfgray']",['Black Markings'],http://www.useurasierclub.org
field-spaniel,"Sweet, Fun-Loving, Sensitive",Ranks 149 of 197,"18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01205310/Field-Spaniel-sitting-in-a-field.jpg,https://marketplace.akc.org/puppies/field-spaniel,Weekly Brushing,Regularly,Regular Exercise,Agreeable,Reserved with Strangers,"['Black', 'Blue Roan', 'Golden Liver', 'Golden Liver Roan', 'Liver', 'Liver Roan', 'Black & Tan', 'Black & White', 'Blue Roan & Tan', 'Liver & Tan', 'Liver & White']",['Tan Markings'],https://www.fieldspanielsocietyofamerica.org
finnish-lapphund,"Friendly, Alert, Agile",Ranks 161 of 197,"18-21 inches (male), 16-19 inches (female)",33-53 pounds,12-15 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28155707/Finnish-Lapphund-lying-on-a-snow-covered-road.jpg,https://marketplace.akc.org/puppies/finnish-lapphund,Weekly Brushing,Seasonal,Regular Exercise,Eager to Please,Reserved with Strangers,"['Black', 'Blonde', 'Brown', 'Cream', 'Tan', 'Wolf Sable', 'Blue', 'Brindle', 'Saddle']","['Black Mask', 'Domino', 'Tan Points', 'Tri Color Markings', 'White & Tan Markings', 'White Markings', 'Piebald', 'Tan Points & Ticked', 'White Markings, Black Mask']",https://www.finnishlapphund.org
finnish-spitz,"Friendly, Good-Natured, Lively",Ranks 184 of 197,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12233256/Finnish-Spitz-On-White-01.jpg,https://marketplace.akc.org/puppies/finnish-spitz,Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,Friendly,"['Red Gold', 'Gold', 'Red']",['White Markings'],http://www.finnishspitzclub.org/
flat-coated-retriever,"Cheerful, Optimistic, Good-Humored",Ranks 91 of 197,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02143829/Flat-Coated-Retrievers-sitting-outdoors.jpg,https://marketplace.akc.org/puppies/flat-coated-retriever,Weekly Brushing,Regularly,Needs Lots of Activity,Eager to Please,Friendly,"['Black', 'Liver', 'Yellow']",[],https://fcrsa.org
