breed,attribute_labels,popularity,height,weight,life_exp,group,image_url,puppy_link,grooming_frequency,shedding,energy_level,trainability,demeanor,colors,mask,rescue_link
berger-picard,"Loyal, Good-Natured, Observant",Ranks 144 of 197,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12-13 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03193707/Berger-Picard-standing-in-a-field.jpg,https://marketplace.akc.org/puppies/berger-picard,Occasional Bath/Brush,Seasonal,Needs Lots of Activity,Easy Training,Alert/Responsive,"['Brindle', 'Fawn']","['Brindle', 'White Markings']",http://picards.us/
bernese-mountain-dog,"Good-Natured, Calm, Strong",Ranks 22 of 197,"25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7-10 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11124331/Bernese-Mountain-Dog-On-White-01.jpg,https://marketplace.akc.org/puppies/bernese-mountain-dog,2-3 Times a Week Brushing,Frequent,Energetic,Easy Training,Reserved with Strangers,"['Black Rust & White', 'Black Tan & White', 'Black & Rust', 'Black & White', 'Rust & White']",[],http://www.bmdca.org/
bichon-frise,"Playful, Curious, Peppy",Ranks 46 of 197,9.5-11.5 inches,12-18 pounds,14-15 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000402/Bichon-Frise-On-White-03.jpg,https://marketplace.akc.org/puppies/bichon-frise,Specialty/Professional,Infrequent,Regular Exercise,Agreeable,Outgoing,"['White', 'White & Apricot', 'White & Buff', 'White & Cream']",[],https://bichon.org
biewer-terrier,"Intelligent, Devoted, Amusing",-1,7-11 inches,4-8 pounds,16 years,Toy Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05140029/Biewer-Terrier-standing-on-a-white-background.jpg,https://marketplace.akc.org/puppies/biewer-terrier,2-3 Times a Week Brushing,Infrequent,Calm,Eager to Please,Outgoing,"['Black Tan & White', 'Blue Tan & White', 'Chocolate Tan & White']",[],https://biewerterrierclubofamerica.org
black-and-tan-coonhound,"Easy-Going, Bright, Brave",Ranks 138 of 197,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29172221/Black-and-Tan-Coonhound-On-White-031.jpg,https://marketplace.akc.org/puppies/black-and-tan-coonhound,Weekly Brushing,Seasonal,Regular Exercise,Independent,Friendly,['Black & Tan'],[],http://www.abtcc.com/
black-russian-terrier,"Intelligent, Calm, Powerful",Ranks 118 of 197,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11232144/Black-Russian-Terrier-standing-outdoors.jpg,https://marketplace.akc.org/puppies/black-russian-terrier,Daily Brushing,Seasonal,Energetic,Easy Training,Reserved with Strangers,"['Black', 'Salt & Pepper', 'Black & Tan', 'Blue', 'Sable']",[],http://www.brtca.org/
bloodhound,"Friendly, Independent, Inquisitive",Ranks 49 of 197,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25141649/Bloodhound-on-a-scent-in-the-woods.jpg,https://marketplace.akc.org/puppies/bloodhound,Weekly Brushing,Seasonal,Regular Exercise,Independent,Alert/Responsive,"['Black & Tan', 'Liver & Tan', 'Red']",[],https://www.americanbloodhoundclub.org/
bluetick-coonhound,"Smart, Devoted, Tenacious",Ranks 130 of 197,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28195318/Bluetick-Coonhound.jpg,https://marketplace.akc.org/puppies/bluetick-coonhound,Weekly Brushing,Seasonal,Energetic,Agreeable,Friendly,"['Blue Ticked', 'Blue Ticked & Tan']",['Black Spots'],https://nationalblueticks.com/
boerboel,"Confident, Intelligent, Calm",Ranks 121 of 197,"24-27 inches (male), 22-25 inches (female)",150-200 pounds,9-11 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000046/Boerboel-On-White-01.jpg,https://marketplace.akc.org/puppies/boerboel,Occasional Bath/Brush,Occasional,Calm,Agreeable,Reserved with Strangers,"['Brindle', 'Brown', 'Cream', 'Red', 'Reddish Brown', 'Tawny']","['Black Mask', 'Irish Marked', 'Piebald', 'White Markings']",http://www.americanboerboelclub.com/
bohemian-shepherd,"Friendly, Devoted, Alert and Intelligent",-1,"20.5-21.7 inches (males), 19.3-20.5 inches (females)","41-60 pounds (males), 37-53 pounds (females)",12-15 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25124156/Bohemian-Shepherd-outdoors.jpg,https://marketplace.akc.org/puppies/bohemian-shepherd,Occasional Bath/Brush,Occasional,Regular Exercise,Easy Training,Alert/Responsive,['Black'],['Tan Markings'],-1
bolognese,"Playful, Easy-Going, Devoted",-1,10-12 inches,5.5-9 pounds,12-14 years,Foundation Stock Service,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07171038/AdobeStock_71665389.jpg,https://marketplace.akc.org/puppies/bolognese,2-3 Times a Week Brushing,Infrequent,Calm,Agreeable,Friendly,['White'],[],http://americanbologneseclub.com/
border-collie,"Affectionate, Smart, Energetic",Ranks 35 of 197,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235957/Border-Collie-On-White-01.jpg,https://marketplace.akc.org/puppies/border-collie,2-3 Times a Week Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Reserved with Strangers,"['Black', 'Blue', 'Blue Merle', 'Brindle', 'Gold', 'Lilac', 'Red', 'Red Merle', 'Sable', 'Sable Merle', 'Saddleback Sable', 'White & Black', 'White & Blue', 'White & Blue Merle', 'White & Red', 'White & Red Merle', 'White Ticked', 'Seal', 'Slate', 'White & Gold', 'White & Sable', 'White & Seal']","['Tan Points', 'White Markings', 'White Markings, Brindle Points', 'White Markings, Tan Points', 'White Markings, Ticked', 'White Markings, Brindle Points, Ticked', 'White Markings, Tan Points, Ticked', 'Merle Markings']",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/03/13131244/Border-Collie-Club-Flyer.pdf
border-terrier,"Affectionate, Happy, Plucky",Ranks 88 of 197,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Terrier Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235916/Border-Terrier-On-White-03.jpg,https://marketplace.akc.org/puppies/border-terrier,Weekly Brushing,Occasional,Regular Exercise,Easy Training,Friendly,"['Blue & Tan', 'Grizzle & Tan', 'Red', 'Wheaten', 'Black & Red', 'Black & Tan', 'Black Grizzle', 'Blue Grizzle', 'Grizzle', 'Red Grizzle', 'Red Grizzle & Tan', 'Red Wheaten']",['Black Points'],http://www.btcoa.org/
borzoi,"Affectionate, Loyal, Regally Dignified",Ranks 103 of 197,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Hound Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15110821/Borzoi-running-outdoors.jpg,https://marketplace.akc.org/puppies/borzoi,Weekly Brushing,Seasonal,Energetic,Independent,Alert/Responsive,"['Black', 'Black & Brindle', 'Black & Cream', 'Black & Tan', 'Brindle', 'Brindled Sable', 'Cream', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Sable', 'Sabled Gold', 'Sabled Red', 'Silver Brindle', 'Silver Sable', 'White', 'Apricot', 'Blue', 'Blue & Cream', 'Blue Brindle', 'Brown', 'Cream Sable', 'Fawn', 'Mahogany Brindle', 'Mahogany Red', 'Red Sable', 'Sabled Cream', 'Silver']","['Black Mask', 'Spotted On White', 'Spotted On White, Black Mask', 'Spotted On White, Ticked', 'White Markings', 'White Markings, Black Mask', 'White Markings, Ticked', 'White Trim', 'White Trim, Black Mask']",https://www.borzoiclubofamerica.org
boston-terrier,"Friendly, Bright, Amusing",Ranks 21 of 197,15-17 inches,12-25 pounds,11-13 years,Non-Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235803/Boston-Terrier-On-White-03.jpg,https://marketplace.akc.org/puppies/boston-terrier,Weekly Brushing,Infrequent,Regular Exercise,Eager to Please,Outgoing,"['Black & White', 'Black Brindle & White', 'Brindle & White', 'Seal & White', 'Seal Brindle & White']",[],http://www.bostonterrierclubofamerica.org/
bouvier-des-flandres,"Affectionate, Courageous, Strong-Willed",Ranks 84 of 197,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Herding Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25162012/Bouvier-des-Flandres-standing-atop-a-hill.jpg,https://marketplace.akc.org/puppies/bouvier-des-flandres,Daily Brushing,Seasonal,Energetic,Agreeable,Alert/Responsive,"['Black', 'Brindle', 'Fawn', 'Gray Brindle', 'Pepper & Salt', 'Black & Brindle', 'Black & Brown', 'Black & Fawn', 'Black & Gray', 'Black & White', 'Blue', 'Blue & Gray', 'Brown', 'Silver & Gray', 'White']","['Black Mask', 'Brindle Markings', 'White Markings']",http://www.bouvier.org/
boxer,"Bright, Fun-Loving, Active",Ranks 11 of 197,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Working Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17154200/Boxer.1.jpg,https://marketplace.akc.org/puppies/boxer,Weekly Brushing,Occasional,Energetic,Easy Training,Outgoing,"['Brindle', 'Fawn', 'White']","['Black Mask', 'Black Mask, White Markings', 'White Markings', 'Brindle Markings', 'Fawn Markings']",http://americanboxerclub.org/
boykin-spaniel,"Friendly, Eager, Lovable",Ranks 100 of 197,"15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10-15 years,Sporting Group,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17123933/Boykin-Spaniel-holding-a-dummy-toy.jpg,https://marketplace.akc.org/puppies/boykin-spaniel,2-3 Times a Week Brushing,Seasonal,Regular Exercise,Eager to Please,Alert/Responsive,['Liver'],[],http://theboykinspanielclub.com/
bracco-italiano,"Affectionate, Intelligent, Enthusiastic",-1,21-27 inches,55-90 pounds,10-14 years,Miscellaneous Class,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104437/Bracco.7.jpg,https://marketplace.akc.org/puppies/bracco-italiano,Occasional Bath/Brush,Occasional,Energetic,Easy Training,Alert/Responsive,"['White', 'White & Chestnut', 'White & Orange']",['Roan'],http://www.thebraccoclub.org/
